variant,path,doc_id,page,family,window,width,height,pixels,bytes,source_pdf
dpi150,data/perturbed/dpi150/a_share_notice_new_688692_2026-09-18_p1.png,a_share_notice_new_688692_2026-09-18,1,a_share_notice,new,1241,1754,2176714,216818,data/corpus/a_share_notice/a_share_notice_new_688692_2026-09-18.pdf
dpi100,data/perturbed/dpi100/a_share_notice_new_688692_2026-09-18_p1.png,a_share_notice_new_688692_2026-09-18,1,a_share_notice,new,827,1170,967590,135180,data/corpus/a_share_notice/a_share_notice_new_688692_2026-09-18.pdf
jpeg30,data/perturbed/jpeg30/a_share_notice_new_688692_2026-09-18_p1.jpg,a_share_notice_new_688692_2026-09-18,1,a_share_notice,new,2481,3508,8703348,304921,data/corpus/a_share_notice/a_share_notice_new_688692_2026-09-18.pdf
rot2,data/perturbed/rot2/a_share_notice_new_688692_2026-09-18_p1.png,a_share_notice_new_688692_2026-09-18,1,a_share_notice,new,2481,3508,8703348,822674,data/corpus/a_share_notice/a_share_notice_new_688692_2026-09-18.pdf
photocopy,data/perturbed/photocopy/a_share_notice_new_688692_2026-09-18_p1.png,a_share_notice_new_688692_2026-09-18,1,a_share_notice,new,1241,1754,2176714,3867053,data/corpus/a_share_notice/a_share_notice_new_688692_2026-09-18.pdf
dpi150,data/perturbed/dpi150/a_share_notice_old_000680_2025-09-19_p3.png,a_share_notice_old_000680_2025-09-19,3,a_share_notice,old,1241,1754,2176714,302448,data/corpus/a_share_notice/a_share_notice_old_000680_2025-09-19.pdf
dpi100,data/perturbed/dpi100/a_share_notice_old_000680_2025-09-19_p3.png,a_share_notice_old_000680_2025-09-19,3,a_share_notice,old,827,1170,967590,194900,data/corpus/a_share_notice/a_share_notice_old_000680_2025-09-19.pdf
jpeg30,data/perturbed/jpeg30/a_share_notice_old_000680_2025-09-19_p3.jpg,a_share_notice_old_000680_2025-09-19,3,a_share_notice,old,2481,3508,8703348,365026,data/corpus/a_share_notice/a_share_notice_old_000680_2025-09-19.pdf
rot2,data/perturbed/rot2/a_share_notice_old_000680_2025-09-19_p3.png,a_share_notice_old_000680_2025-09-19,3,a_share_notice,old,2481,3508,8703348,1161930,data/corpus/a_share_notice/a_share_notice_old_000680_2025-09-19.pdf
photocopy,data/perturbed/photocopy/a_share_notice_old_000680_2025-09-19_p3.png,a_share_notice_old_000680_2025-09-19,3,a_share_notice,old,1241,1754,2176714,3948647,data/corpus/a_share_notice/a_share_notice_old_000680_2025-09-19.pdf
dpi150,data/perturbed/dpi150/a_share_notice_old_001323_2025-09-19_p1.png,a_share_notice_old_001323_2025-09-19,1,a_share_notice,old,1241,1754,2176714,389509,data/corpus/a_share_notice/a_share_notice_old_001323_2025-09-19.pdf
dpi100,data/perturbed/dpi100/a_share_notice_old_001323_2025-09-19_p1.png,a_share_notice_old_001323_2025-09-19,1,a_share_notice,old,827,1170,967590,247534,data/corpus/a_share_notice/a_share_notice_old_001323_2025-09-19.pdf
jpeg30,data/perturbed/jpeg30/a_share_notice_old_001323_2025-09-19_p1.jpg,a_share_notice_old_001323_2025-09-19,1,a_share_notice,old,2481,3508,8703348,425535,data/corpus/a_share_notice/a_share_notice_old_001323_2025-09-19.pdf
rot2,data/perturbed/rot2/a_share_notice_old_001323_2025-09-19_p1.png,a_share_notice_old_001323_2025-09-19,1,a_share_notice,old,2481,3508,8703348,1493155,data/corpus/a_share_notice/a_share_notice_old_001323_2025-09-19.pdf
photocopy,data/perturbed/photocopy/a_share_notice_old_001323_2025-09-19_p1.png,a_share_notice_old_001323_2025-09-19,1,a_share_notice,old,1241,1754,2176714,4024784,data/corpus/a_share_notice/a_share_notice_old_001323_2025-09-19.pdf
dpi150,data/perturbed/dpi150/a_share_notice_old_001323_2025-09-19_p4.png,a_share_notice_old_001323_2025-09-19,4,a_share_notice,old,1241,1754,2176714,297956,data/corpus/a_share_notice/a_share_notice_old_001323_2025-09-19.pdf
dpi100,data/perturbed/dpi100/a_share_notice_old_001323_2025-09-19_p4.png,a_share_notice_old_001323_2025-09-19,4,a_share_notice,old,827,1170,967590,190093,data/corpus/a_share_notice/a_share_notice_old_001323_2025-09-19.pdf
jpeg30,data/perturbed/jpeg30/a_share_notice_old_001323_2025-09-19_p4.jpg,a_share_notice_old_001323_2025-09-19,4,a_share_notice,old,2481,3508,8703348,350760,data/corpus/a_share_notice/a_share_notice_old_001323_2025-09-19.pdf
rot2,data/perturbed/rot2/a_share_notice_old_001323_2025-09-19_p4.png,a_share_notice_old_001323_2025-09-19,4,a_share_notice,old,2481,3508,8703348,1156408,data/corpus/a_share_notice/a_share_notice_old_001323_2025-09-19.pdf
photocopy,data/perturbed/photocopy/a_share_notice_old_001323_2025-09-19_p4.png,a_share_notice_old_001323_2025-09-19,4,a_share_notice,old,1241,1754,2176714,3944805,data/corpus/a_share_notice/a_share_notice_old_001323_2025-09-19.pdf
dpi150,data/perturbed/dpi150/a_share_notice_old_301076_2025-09-19_p3.png,a_share_notice_old_301076_2025-09-19,3,a_share_notice,old,1241,1755,2177955,284066,data/corpus/a_share_notice/a_share_notice_old_301076_2025-09-19.pdf
dpi100,data/perturbed/dpi100/a_share_notice_old_301076_2025-09-19_p3.png,a_share_notice_old_301076_2025-09-19,3,a_share_notice,old,828,1170,968760,181914,data/corpus/a_share_notice/a_share_notice_old_301076_2025-09-19.pdf
jpeg30,data/perturbed/jpeg30/a_share_notice_old_301076_2025-09-19_p3.jpg,a_share_notice_old_301076_2025-09-19,3,a_share_notice,old,2482,3509,8709338,338823,data/corpus/a_share_notice/a_share_notice_old_301076_2025-09-19.pdf
rot2,data/perturbed/rot2/a_share_notice_old_301076_2025-09-19_p3.png,a_share_notice_old_301076_2025-09-19,3,a_share_notice,old,2482,3509,8709338,1090232,data/corpus/a_share_notice/a_share_notice_old_301076_2025-09-19.pdf
photocopy,data/perturbed/photocopy/a_share_notice_old_301076_2025-09-19_p3.png,a_share_notice_old_301076_2025-09-19,3,a_share_notice,old,1241,1755,2177955,3927091,data/corpus/a_share_notice/a_share_notice_old_301076_2025-09-19.pdf
dpi150,data/perturbed/dpi150/hk_annual_new_00159_2026-09-16_p107.png,hk_annual_new_00159_2026-09-16,107,hk_annual,new,1241,1754,2176714,280896,data/corpus/hk_annual/hk_annual_new_00159_2026-09-16.pdf
dpi100,data/perturbed/dpi100/hk_annual_new_00159_2026-09-16_p107.png,hk_annual_new_00159_2026-09-16,107,hk_annual,new,827,1170,967590,166921,data/corpus/hk_annual/hk_annual_new_00159_2026-09-16.pdf
jpeg30,data/perturbed/jpeg30/hk_annual_new_00159_2026-09-16_p107.jpg,hk_annual_new_00159_2026-09-16,107,hk_annual,new,2481,3508,8703348,317967,data/corpus/hk_annual/hk_annual_new_00159_2026-09-16.pdf
rot2,data/perturbed/rot2/hk_annual_new_00159_2026-09-16_p107.png,hk_annual_new_00159_2026-09-16,107,hk_annual,new,2481,3508,8703348,1718710,data/corpus/hk_annual/hk_annual_new_00159_2026-09-16.pdf
photocopy,data/perturbed/photocopy/hk_annual_new_00159_2026-09-16_p107.png,hk_annual_new_00159_2026-09-16,107,hk_annual,new,1241,1754,2176714,4122130,data/corpus/hk_annual/hk_annual_new_00159_2026-09-16.pdf
dpi150,data/perturbed/dpi150/hk_annual_new_01797_2026-09-15_p232.png,hk_annual_new_01797_2026-09-15,232,hk_annual,new,1241,1684,2089844,176802,data/corpus/hk_annual/hk_annual_new_01797_2026-09-15.pdf
dpi100,data/perturbed/dpi100/hk_annual_new_01797_2026-09-15_p232.png,hk_annual_new_01797_2026-09-15,232,hk_annual,new,827,1123,928721,100502,data/corpus/hk_annual/hk_annual_new_01797_2026-09-15.pdf
jpeg30,data/perturbed/jpeg30/hk_annual_new_01797_2026-09-15_p232.jpg,hk_annual_new_01797_2026-09-15,232,hk_annual,new,2481,3367,8353527,229011,data/corpus/hk_annual/hk_annual_new_01797_2026-09-15.pdf
rot2,data/perturbed/rot2/hk_annual_new_01797_2026-09-15_p232.png,hk_annual_new_01797_2026-09-15,232,hk_annual,new,2481,3367,8353527,963822,data/corpus/hk_annual/hk_annual_new_01797_2026-09-15.pdf
photocopy,data/perturbed/photocopy/hk_annual_new_01797_2026-09-15_p232.png,hk_annual_new_01797_2026-09-15,232,hk_annual,new,1241,1684,2089844,3739513,data/corpus/hk_annual/hk_annual_new_01797_2026-09-15.pdf
dpi150,data/perturbed/dpi150/hk_annual_new_01797_2026-09-15_p241.png,hk_annual_new_01797_2026-09-15,241,hk_annual,new,1241,1684,2089844,191394,data/corpus/hk_annual/hk_annual_new_01797_2026-09-15.pdf
dpi100,data/perturbed/dpi100/hk_annual_new_01797_2026-09-15_p241.png,hk_annual_new_01797_2026-09-15,241,hk_annual,new,827,1123,928721,111925,data/corpus/hk_annual/hk_annual_new_01797_2026-09-15.pdf
jpeg30,data/perturbed/jpeg30/hk_annual_new_01797_2026-09-15_p241.jpg,hk_annual_new_01797_2026-09-15,241,hk_annual,new,2481,3367,8353527,249017,data/corpus/hk_annual/hk_annual_new_01797_2026-09-15.pdf
rot2,data/perturbed/rot2/hk_annual_new_01797_2026-09-15_p241.png,hk_annual_new_01797_2026-09-15,241,hk_annual,new,2481,3367,8353527,1032783,data/corpus/hk_annual/hk_annual_new_01797_2026-09-15.pdf
photocopy,data/perturbed/photocopy/hk_annual_new_01797_2026-09-15_p241.png,hk_annual_new_01797_2026-09-15,241,hk_annual,new,1241,1684,2089844,3787792,data/corpus/hk_annual/hk_annual_new_01797_2026-09-15.pdf
dpi150,data/perturbed/dpi150/hk_annual_new_03306_2026-09-09_p112.png,hk_annual_new_03306_2026-09-09,112,hk_annual,new,1241,1536,1906176,334503,data/corpus/hk_annual/hk_annual_new_03306_2026-09-09.pdf
dpi100,data/perturbed/dpi100/hk_annual_new_03306_2026-09-09_p112.png,hk_annual_new_03306_2026-09-09,112,hk_annual,new,827,1024,846848,196149,data/corpus/hk_annual/hk_annual_new_03306_2026-09-09.pdf
jpeg30,data/perturbed/jpeg30/hk_annual_new_03306_2026-09-09_p112.jpg,hk_annual_new_03306_2026-09-09,112,hk_annual,new,2481,3071,7619151,353560,data/corpus/hk_annual/hk_annual_new_03306_2026-09-09.pdf
rot2,data/perturbed/rot2/hk_annual_new_03306_2026-09-09_p112.png,hk_annual_new_03306_2026-09-09,112,hk_annual,new,2481,3071,7619151,1709737,data/corpus/hk_annual/hk_annual_new_03306_2026-09-09.pdf
photocopy,data/perturbed/photocopy/hk_annual_new_03306_2026-09-09_p112.png,hk_annual_new_03306_2026-09-09,112,hk_annual,new,1241,1536,1906176,3585265,data/corpus/hk_annual/hk_annual_new_03306_2026-09-09.pdf
dpi150,data/perturbed/dpi150/hk_annual_new_08067_2026-09-18_p128.png,hk_annual_new_08067_2026-09-18,128,hk_annual,new,1241,1684,2089844,227393,data/corpus/hk_annual/hk_annual_new_08067_2026-09-18.pdf
dpi100,data/perturbed/dpi100/hk_annual_new_08067_2026-09-18_p128.png,hk_annual_new_08067_2026-09-18,128,hk_annual,new,827,1123,928721,127853,data/corpus/hk_annual/hk_annual_new_08067_2026-09-18.pdf
jpeg30,data/perturbed/jpeg30/hk_annual_new_08067_2026-09-18_p128.jpg,hk_annual_new_08067_2026-09-18,128,hk_annual,new,2481,3367,8353527,250429,data/corpus/hk_annual/hk_annual_new_08067_2026-09-18.pdf
rot2,data/perturbed/rot2/hk_annual_new_08067_2026-09-18_p128.png,hk_annual_new_08067_2026-09-18,128,hk_annual,new,2481,3367,8353527,1191295,data/corpus/hk_annual/hk_annual_new_08067_2026-09-18.pdf
photocopy,data/perturbed/photocopy/hk_annual_new_08067_2026-09-18_p128.png,hk_annual_new_08067_2026-09-18,128,hk_annual,new,1241,1684,2089844,4031843,data/corpus/hk_annual/hk_annual_new_08067_2026-09-18.pdf
dpi150,data/perturbed/dpi150/hk_annual_old_01797_2025-09-17_p241.png,hk_annual_old_01797_2025-09-17,241,hk_annual,old,1241,1684,2089844,252226,data/corpus/hk_annual/hk_annual_old_01797_2025-09-17.pdf
